gene_id	baseMean	external_log2fc	external_lfc_se	external_signed_stat	external_p	genomewide_q	contrast	estimand
LITCHI014409	12.6402461945248	0.702489914454962	0.67559850523111	1.0398038317368	0.298431048558765	0.42379453254393	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI030265	98.4717414002791	-0.269097803783451	0.258855101311246	-1.03956925098374	0.298540068900556	0.423916818217065	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI014135	88.7752930910458	0.275476151221809	0.265196237711825	1.03876342137687	0.298914777114399	0.424416323985418	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI023013	162.752941991714	-0.205654126827377	0.198004421372368	-1.03863401333156	0.298974980686558	0.424469235660945	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI026841	256.715680111923	0.159609693096425	0.153727958844137	1.03826066706741	0.299148715229635	0.424683312261173	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI027815	40.1350208553772	-1.52925412673702	1.47341027721089	-1.0379010859296	0.299316107928575	0.4248620098273	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI016288	11.6207719767381	1.71300600554496	1.65053181493534	1.0378509460068	0.299339454097248	0.4248620098273	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI023632	17.0897476702133	-1.79671460097235	1.73120189667461	-1.03784232470146	0.299343468474917	0.4248620098273	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI017771	24.3653438051477	0.514754065617769	0.496138755073793	1.03752037177827	0.299493406597222	0.425019634776624	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI014919	8.89855386101572	0.914422284261432	0.881366436717257	1.03750522616597	0.299500461361101	0.425019634776624	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
