gene_id	baseMean	interaction_log2fc	interaction_lfc_se	stat	interaction_p	interaction_q	signed_wald_stat	shrunken_interaction_log2fc	statistical_discovery	mappability_status	unique_gene_model_status	primary_gene_status
LITCHI027173	34.7233069371201	-2.75525454245333	0.791712908281539	-3.48011825199842	0.000501192514237306	0.0402714398320017	-3.48011825199842	-2.19171997001682	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI006923	752.017424632771	-0.906502784197291	0.261457698018722	-3.46711070688146	0.000526085168360147	0.0418331787983868	-3.46711070688146	-0.738468644170357	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI010490	38.0310268981129	-2.93276399186426	0.845982447970234	-3.46669602767863	0.000526897379022026	0.0418331787983868	-3.46669602767863	-2.35103887714877	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI027034	345.296775997042	0.815071820040122	0.235138017593307	3.46635490246356	0.000527566399178736	0.0418331787983868	3.46635490246356	0.664645676674003	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI007095	369.084214915448	0.849220256921297	0.245049413111566	3.46550618562251	0.00052923435250209	0.0418331787983868	3.46550618562251	0.700309256636325	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI010138	3330.8973940868	-0.649750521024091	0.187551818639632	-3.46437867538114	0.000531457809879347	0.0418388547089227	-3.46437867538114	-0.539753474609108	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI030858	1210.57298914734	-1.0251629884946	0.296116071983203	-3.46203089088914	0.000536115617549687	0.0420353555776357	-3.46203089088914	-0.829458209152334	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI025047	4159.72962224428	1.27862217879166	0.369586732738987	3.45959977869297	0.000540978805041277	0.0422463167230025	3.45959977869297	1.02425881543084	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI019824	327.267312293359	1.08315105254643	0.313937935753807	3.45020760216711	0.00056015560908694	0.0435689032747822	3.45020760216711	0.871443855614366	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI019041	690.102583215712	-1.36099353783095	0.395182470708471	-3.44396231794138	0.00057325559173857	0.0444101792085916	-3.44396231794138	-1.08578642222288	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI019626	1115.74574898259	-1.87452672348075	0.544609694733275	-3.44196355960723	0.000577508040469693	0.0445011626745455	-3.44196355960723	-1.48199452326627	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI014699	56.6175794296238	1.39844781594363	0.406385657816439	3.44118398138769	0.000579174576005794	0.0445011626745455	3.44118398138769	1.11256446030525	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI023129	660.655699181382	0.887765046512915	0.258056624323739	3.44019475895798	0.000581295722259426	0.0445011626745455	3.44019475895798	0.719203746585802	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI008313	586.022421481978	0.901739665346397	0.262448334008684	3.43587498374655	0.000590643454916564	0.0448910819251059	3.43587498374655	0.730913199607414	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI000271	468.552468417367	0.779378053254629	0.226863367119635	3.43545131657871	0.000591567740902103	0.0448910819251059	3.43545131657871	0.636340605878868	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI031732	230.080148184148	0.85872192382025	0.250072388768906	3.43389339401961	0.000594978146285516	0.0448910819251059	3.43389339401961	0.689953536900116	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI029848	40.5245419363921	2.22519561731239	0.648064984083311	3.43359951851115	0.000595623509214571	0.0448910819251059	3.43359951851115	1.75199519150105	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI019186	108.479865667135	1.10279907681684	0.321618231060947	3.42890722699068	0.000606016639268696	0.0454980445968332	3.42890722699068	0.883816120603237	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI027423	137.815257357484	2.84018792838925	0.829486342170031	3.42403217991389	0.000616993143497658	0.0461439679819691	3.42403217991389	0.139915900912217	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI031372	1713.22505727027	-0.887401731293767	0.259714321285193	-3.41683788134004	0.000633529939329526	0.0470549642911606	-3.41683788134004	-0.717337134014702	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI021593	514.937489414638	-0.832826197976086	0.24375662725022	-3.41662996969996	0.000634013918451225	0.0470549642911606	-3.41662996969996	-0.675935794045586	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
